ISO3Code,UNCode,OfficialName,UNICEFReportRegion1,UNICEFReportRegion2,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion5,M49Region1,M49Region2,M49Region3,WBRegion4,UNICEFRegion,SDGRegion,M49Region,SDGRegionrev1,SDGRegionrev2,GBDRegion1,GBDRegion,sdg,unicef,gbd,m49,wb,sdg.rev1,sdg.rev2
AFG,4,Afghanistan,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Low income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,North Africa and Middle East,North Africa and Middle East,1,1,1,1,1,1,1
AGO,24,Angola,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2
ALB,8,Albania,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3
AND,20,Andorra,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3
ARE,784,United Arab Emirates,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4
ARG,32,Argentina,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Southern Latin America,High income,5,6,4,4,3,5,5
ARM,51,Armenia,Europe and Central Asia,Eastern Europe and Central Asia,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Eastern Europe and Central Asia,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Central Asia,"Central Europe, Eastern Europe,Central Asia",4,3,3,1,3,4,4
ATG,28,Antigua and Barbuda,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5
AUS,36,Australia,East Asia and Pacific,,Oceania,Australia and New Zealand,"North America, Europe, Australia and New Zealand",Oceania,Australia and New Zealand,,High income,East Asia and Pacific,Australia and New Zealand,Oceania,"Northern America, Australia and New Zealand, Central Asia and Europe",Oceania,Australasia,High income,6,7,4,5,4,3,6
AUT,40,Austria,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3
